$Date,$Time,TEMPERATURA,SETPOINT,SALIDACONTROL,CAUDAL_FILTRADO,CAUDAL
03/13/17,19:19:11,38.9,35,40,621.4799,618
03/13/17,19:19:12,38.91,35,40,621.5201,612
03/13/17,19:19:13,38.99,35,40,620.924,610
03/13/17,19:19:14,38.91,35,40,618.4095,607
03/13/17,19:19:15,38.92,35,40,617.3259,607
03/13/17,19:19:16,38.92,35,40,616.5978,617
03/13/17,19:19:17,38.97,35,40,616.2957,604
03/13/17,19:19:18,38.93,35,40,615.4033,610
03/13/17,19:19:19,38.93,35,40,614.5074,608
03/13/17,19:19:20,38.93,35,40,613.73,606
03/13/17,19:19:21,38.94,35,40,613.5674,622
03/13/17,19:19:22,38.93,35,40,613.845,607
03/13/17,19:19:23,38.92,35,40,613.921,620
03/13/17,19:19:24,38.93,35,40,614.7178,617
03/13/17,19:19:25,38.94,35,40,615.1341,618
03/13/17,19:19:26,38.94,35,40,615.5952,626
03/13/17,19:19:27,38.95,35,40,616.2318,624
03/13/17,19:19:28,38.94,35,40,616.9857,623
03/13/17,19:19:29,39.02,35,40,616.5536,610
03/13/17,19:19:30,38.95,35,40,615.2055,615
03/13/17,19:19:31,38.95,35,40,615.606,614
03/13/17,19:19:32,38.95,35,40,615.8605,616
03/13/17,19:19:33,39,35,40,616.6638,620
03/13/17,19:19:34,38.95,35,40,615.8142,611
03/13/17,19:19:35,38.94,35,40,614.6226,617
03/13/17,19:19:36,38.95,35,40,613.6274,609
03/13/17,19:19:37,39.03,35,40,613.6078,621
03/13/17,19:19:38,38.95,35,40,613.6837,616
03/13/17,19:19:39,38.95,35,40,613.5085,616
03/13/17,19:19:40,38.94,35,40,612.9368,617
03/13/17,19:19:41,39.01,35,40,612.0334,608
03/13/17,19:19:42,38.96,35,40,611.9609,616
03/13/17,19:19:43,38.95,35,40,612.4648,617
03/13/17,19:19:44,38.95,35,40,613.186,617
03/13/17,19:19:45,39.01,35,40,613.236,618
03/13/17,19:19:46,38.96,35,40,613.1085,610
03/13/17,19:19:47,38.95,35,40,613.0107,618
03/13/17,19:19:48,38.96,35,40,613.5378,612
03/13/17,19:19:49,39.03,35,40,613.3875,613
03/13/17,19:19:50,38.94,35,40,613.7465,620
03/13/17,19:19:51,38.94,35,40,614.2725,608
03/13/17,19:19:52,38.93,35,40,613.8963,616
03/13/17,19:19:53,39.01,35,40,614.2095,608
03/13/17,19:19:54,38.92,35,40,615.4906,622
03/13/17,19:19:55,38.92,35,40,616.5089,615
03/13/17,19:19:56,38.92,35,40,616.769,613
03/13/17,19:19:57,38.97,35,40,617.325,618
